String Index	Text
13c	ÿc4(Hard Leather Armor)\nAncient Coupon
14c	ÿc4(Helm)\nAncient Coupon
15c	ÿc4(Ring Mail)\nAncient Coupon
16c	ÿc4(Skull Cap)\nAncient Coupon
17c	ÿc4(Spiked Shield)\nAncient Coupon
18c	ÿc4(Chain Gloves)\nAncient Coupon
19c	ÿc4(Chain Boots)\nAncient Coupon
20c	ÿc4(Scale Mail)\nAncient Coupon
21c	ÿc4(Studded Leather)\nAncient Coupon
22c	ÿc4(Full Helm)\nAncient Coupon
23c	ÿc4(Kite Shield)\nAncient Coupon
24c	ÿc4(Chain Mail)\nAncient Coupon
25c	ÿc4(Tower Shield)\nAncient Coupon
26c	ÿc4(Mask)\nAncient Coupon
27c	ÿc4(Breast Plate)\nAncient Coupon
28c	ÿc4(Bone Shield)\nAncient Coupon
29c	ÿc4(Belt)\nAncient Coupon
30c	ÿc4(Bone Helm)\nAncient Coupon
31c	ÿc4(Splint Mail)\nAncient Coupon
32c	ÿc4(Light Gauntlets)\nAncient Coupon
33c	ÿc4(Light Plated Boots)\nAncient Coupon
34c	ÿc4(Heavy Belt)\nAncient Coupon
35c	ÿc4(Great Helm)\nAncient Coupon
36c	ÿc4(Plate Mail)\nAncient Coupon
37c	ÿc4(Gauntlets)\nAncient Coupon
38c	ÿc4(Greaves)\nAncient Coupon
39c	ÿc4(Plated Belt)\nAncient Coupon
40c	ÿc4(Crown)\nAncient Coupon
41c	ÿc4(Field Plate)\nAncient Coupon
42c	ÿc4(Gothic Shield)\nAncient Coupon
43c	ÿc4(Gothic Plate)\nAncient Coupon
44c	ÿc4(Light Plate)\nAncient Coupon
45c	ÿc4(Full Plate Mail)\nAncient Coupon
46c	ÿc4(Ancient Armor)\nAncient Coupon
01d	ÿc4(War Hat)\nAncient Coupon
02d	ÿc4(Ghost Armor)\nAncient Coupon
03d	ÿc4(Defender)\nAncient Coupon
04d	ÿc4(Demonhide Gloves)\nAncient Coupon
05d	ÿc4(Demonhide Boots)\nAncient Coupon
06d	ÿc4(Demonhide Sash)\nAncient Coupon
07d	ÿc4(Serpentskin Armor)\nAncient Coupon
08d	ÿc4(Sallet)\nAncient Coupon
09d	ÿc4(Demonhide Armor)\nAncient Coupon
10d	ÿc4(Round Shield)\nAncient Coupon
11d	ÿc4(Sharkskin Gloves)\nAncient Coupon
12d	ÿc4(Sharkskin Belt)\nAncient Coupon
13d	ÿc4(Sharkskin Boots)\nAncient Coupon
14d	ÿc4(Trellised Armor)\nAncient Coupon
15d	ÿc4(Casque)\nAncient Coupon
16d	ÿc4(Linked Mail)\nAncient Coupon
17d	ÿc4(Scutum)\nAncient Coupon
18d	ÿc4(Barbed Shield)\nAncient Coupon
19d	ÿc4(Heavy Bracers)\nAncient Coupon
20d	ÿc4(Mesh Boots)\nAncient Coupon
21d	ÿc4(Tigulated Mail)\nAncient Coupon
22d	ÿc4(Mesh Belt)\nAncient Coupon
23d	ÿc4(Basinet)\nAncient Coupon
24d	ÿc4(Mesh Armor)\nAncient Coupon
25d	ÿc4(Dragon Shield)\nAncient Coupon
26d	ÿc4(Death Mask)\nAncient Coupon
27d	ÿc4(Cuirass)\nAncient Coupon
28d	ÿc4(Grim Shield)\nAncient Coupon
29d	ÿc4(Battle Belt)\nAncient Coupon
30d	ÿc4(Grim Helm)\nAncient Coupon
31d	ÿc4(Russet Armor)\nAncient Coupon
32d	ÿc4(Battle Gauntlets)\nAncient Coupon
33d	ÿc4(Battle Boots)\nAncient Coupon
34d	ÿc4(Slayer Guard)\nAncient Coupon
35d	ÿc4(Heirophant Trophy)\nAncient Coupon
36d	ÿc4(Gilded Shield)\nAncient Coupon
37d	ÿc4(Totemic Mask)\nAncient Coupon
38d	ÿc4(Winged Helm)\nAncient Coupon
39d	ÿc4(Pavise)\nAncient Coupon
40d	ÿc4(Templar Coat)\nAncient Coupon
41d	ÿc4(War Gauntlets)\nAncient Coupon
42d	ÿc4(War Boots)\nAncient Coupon
43d	ÿc4(War Belt)\nAncient Coupon
44d	ÿc4(Sharktooth Armor)\nAncient Coupon
45d	ÿc4(Grand Crown)\nAncient Coupon
46d	ÿc4(Ancient Shield)\nAncient Coupon
47d	ÿc4(Embossed Plate)\nAncient Coupon
48d	ÿc4(Mage Plate)\nAncient Coupon
49d	ÿc4(Chaos Armor)\nAncient Coupon
50d	ÿc4(Ornate Armor)\nAncient Coupon
01e	ÿc4(Luna)\nAncient Coupon
02e	ÿc4(Vampirefang Belt)\nAncient Coupon
03e	ÿc4(Shako)\nAncient Coupon
04e	ÿc4(Destroyer Helm)\nAncient Coupon
05e	ÿc4(Armet)\nAncient Coupon
06e	ÿc4(Mithril Coil)\nAncient Coupon
07e	ÿc4(Blood Spirit)\nAncient Coupon
08e	ÿc4(Scarabshell Boots)\nAncient Coupon
09e	ÿc4(Bloodlord Skull)\nAncient Coupon
10e	ÿc4(Bone Visage)\nAncient Coupon
11e	ÿc4(Kraken Shell)\nAncient Coupon
12e	ÿc4(Shadow Plate)\nAncient Coupon
13e	ÿc4(Boneweave Boots)\nAncient Coupon
14e	ÿc4(Spired Helm ii)\nAncient Coupon
15e	ÿc4(Earth Spirit)\nAncient Coupon
16e	ÿc4(Ward)\nAncient Coupon
17e	ÿc4(Spired Helm i)\nAncient Coupon
18e	ÿc4(Monarch)\nAncient Coupon
19e	ÿc4(Blade Barrier)\nAncient Coupon
20e	ÿc4(Ogre Gauntlets)\nAncient Coupon
21e	ÿc4(Myrmidon Greaves)\nAncient Coupon
22e	ÿc4(Succubus Skull)\nAncient Coupon
23e	ÿc4(Sacred Armor i)\nAncient Coupon
24e	ÿc4(Vambraces)\nAncient Coupon
25e	ÿc4(Sky Spirit)\nAncient Coupon
26e	ÿc4(Dusk Shroud)\nAncient Coupon
27e	ÿc4(Troll Nest)\nAncient Coupon
28e	ÿc4(Vampirebone Gloves)\nAncient Coupon
29e	ÿc4(Aegis)\nAncient Coupon
30e	ÿc4(Diadem)\nAncient Coupon
31e	ÿc4(Zakarum Shield)\nAncient Coupon
32e	ÿc4(Demonhead)\nAncient Coupon
33e	ÿc4(Wire Fleece)\nAncient Coupon
34e	ÿc4(Balrog Skin)\nAncient Coupon
35e	ÿc4(Tiara)\nAncient Coupon
36e	ÿc4(Fury Visor)\nAncient Coupon
37e	ÿc4(Conqueror Crown)\nAncient Coupon
38e	ÿc4(Sacred Rondache)\nAncient Coupon
39e	ÿc4(Corona)\nAncient Coupon
40e	ÿc4(Sacred Armor ii)\nAncient Coupon
41e	ÿc4(Spiderweb Sash)\nAncient Coupon
01f	ÿc4(Short Sword)\nAncient Coupon
02f	ÿc4(Club)\nAncient Coupon
03f	ÿc4(Dagger)\nAncient Coupon
04f	ÿc4(Wand)\nAncient Coupon
05f	ÿc4(Short Staff)\nAncient Coupon
06f	ÿc4(Hand Axe)\nAncient Coupon
07f	ÿc4(Spiked Club)\nAncient Coupon
08f	ÿc4(Scepter)\nAncient Coupon
09f	ÿc4(Short Bow)\nAncient Coupon
10f	ÿc4(Scimitar)\nAncient Coupon
11f	ÿc4(Spear)\nAncient Coupon
12f	ÿc4(Large Axe)\nAncient Coupon
13f	ÿc4(Bardiche)\nAncient Coupon
14f	ÿc4(Axe)\nAncient Coupon
15f	ÿc4(Light Crossbow)\nAncient Coupon
16f	ÿc4(Mace)\nAncient Coupon
17f	ÿc4(Long Staff)\nAncient Coupon
18f	ÿc4(Sabre)\nAncient Coupon
19f	ÿc4(Dirk)\nAncient Coupon
20f	ÿc4(Two-Handed Sword)\nAncient Coupon
21f	ÿc4(Trident)\nAncient Coupon
22f	ÿc4(Falchion)\nAncient Coupon
23f	ÿc4(Hunter's Bow)\nAncient Coupon
24f	ÿc4(Crystal Sword)\nAncient Coupon
25f	ÿc4(Voulge)\nAncient Coupon
26f	ÿc4(Broad Axe)\nAncient Coupon
27f	ÿc4(Yew Wand)\nAncient Coupon
28f	ÿc4(Long Bow)\nAncient Coupon
29f	ÿc4(Morning Star)\nAncient Coupon
30f	ÿc4(Double Axe)\nAncient Coupon
31f	ÿc4(Broad Sword)\nAncient Coupon
32f	ÿc4(Brandistock)\nAncient Coupon
33f	ÿc4(Grand Scepter)\nAncient Coupon
34f	ÿc4(Gnarled Staff)\nAncient Coupon
35f	ÿc4(Crossbow)\nAncient Coupon
36f	ÿc4(Claymore)\nAncient Coupon
37f	ÿc4(Scythe)\nAncient Coupon
38f	ÿc4(Kris)\nAncient Coupon
39f	ÿc4(Battle Axe)\nAncient Coupon
40f	ÿc4(Composite Bow)\nAncient Coupon
41f	ÿc4(Bone Wand)\nAncient Coupon
42f	ÿc4(Battle Staff)\nAncient Coupon
43f	ÿc4(Flail)\nAncient Coupon
44f	ÿc4(Military Pick)\nAncient Coupon
45f	ÿc4(Spetum)\nAncient Coupon
46f	ÿc4(Long Sword)\nAncient Coupon
47f	ÿc4(War Scepter)\nAncient Coupon
48f	ÿc4(Giant Sword)\nAncient Coupon
49f	ÿc4(Maul)\nAncient Coupon
50f	ÿc4(Short Battle Bow)\nAncient Coupon
51f	ÿc4(Blade)\nAncient Coupon
52f	ÿc4(Poleaxe)\nAncient Coupon
53f	ÿc4(Great Axe)\nAncient Coupon
54f	ÿc4(Flamberge)\nAncient Coupon
55f	ÿc4(Bastard Sword)\nAncient Coupon
56f	ÿc4(Long Battle Bow)\nAncient Coupon
57f	ÿc4(Heavy Crossbow)\nAncient Coupon
58f	ÿc4(Pike)\nAncient Coupon
59f	ÿc4(Short War Bow)\nAncient Coupon
60f	ÿc4(War Hammer)\nAncient Coupon
61f	ÿc4(War Axe)\nAncient Coupon
62f	ÿc4(Long War Bow)\nAncient Coupon
63f	ÿc4(Repeating Crossbow)\nAncient Coupon
64f	ÿc4(Halberd)\nAncient Coupon
65f	ÿc4(Grim Wand)\nAncient Coupon
66f	ÿc4(War Staff)\nAncient Coupon
67f	ÿc4(Giant Axe)\nAncient Coupon
68f	ÿc4(War Sword)\nAncient Coupon
69f	ÿc4(War Scythe)\nAncient Coupon
70f	ÿc4(Great Maul)\nAncient Coupon
71f	ÿc4(Great Sword)\nAncient Coupon
01g	ÿc4(Jo Staff)\nAncient Coupon
02g	ÿc4(Edge Bow)\nAncient Coupon
03g	ÿc4(Gladius)\nAncient Coupon
04g	ÿc4(Razor Bow)\nAncient Coupon
05g	ÿc4(War Spear)\nAncient Coupon
06g	ÿc4(Quarterstaff)\nAncient Coupon
07g	ÿc4(Cutlass)\nAncient Coupon
08g	ÿc4(Poignard)\nAncient Coupon
09g	ÿc4(Arbalest)\nAncient Coupon
10g	ÿc4(Fuscina)\nAncient Coupon
11g	ÿc4(Burnt Wand)\nAncient Coupon
12g	ÿc4(Cedar Bow)\nAncient Coupon
13g	ÿc4(Shamshir)\nAncient Coupon
14g	ÿc4(Cudgel)\nAncient Coupon
15g	ÿc4(Military Axe)\nAncient Coupon
16g	ÿc4(Cedar Staff)\nAncient Coupon
17g	ÿc4(War Fork)\nAncient Coupon
18g	ÿc4(Petrified Wand)\nAncient Coupon
19g	ÿc4(Tulwar)\nAncient Coupon
20g	ÿc4(Siege Crossbow)\nAncient Coupon
21g	ÿc4(Rondel)\nAncient Coupon
22g	ÿc4(Hatchet)\nAncient Coupon
23g	ÿc4(Tomb Wand)\nAncient Coupon
24g	ÿc4(Double Bow)\nAncient Coupon
25g	ÿc4(Yari)\nAncient Coupon
26g	ÿc4(Dimensional Blade)\nAncient Coupon
27g	ÿc4(Rune Scepter)\nAncient Coupon
28g	ÿc4(Cinquedeas)\nAncient Coupon
29g	ÿc4(Barbed Club)\nAncient Coupon
30g	ÿc4(Holy Water Sprinkler)\nAncient Coupon
31g	ÿc4(Lance)\nAncient Coupon
32g	ÿc4(Short Siege Bow)\nAncient Coupon
33g	ÿc4(Gothic Staff)\nAncient Coupon
34g	ÿc4(Cleaver)\nAncient Coupon
35g	ÿc4(Battle Sword)\nAncient Coupon
36g	ÿc4(Bearded Axe)\nAncient Coupon
37g	ÿc4(Flanged Mace)\nAncient Coupon
38g	ÿc4(Lochaber Axe)\nAncient Coupon
39g	ÿc4(Tabar)\nAncient Coupon
40g	ÿc4(Rune Sword)\nAncient Coupon
41g	ÿc4(Rune Staff)\nAncient Coupon
42g	ÿc4(Long Siege Bow)\nAncient Coupon
43g	ÿc4(Stilleto)\nAncient Coupon
44g	ÿc4(Grave Wand)\nAncient Coupon
45g	ÿc4(Ceremonial Javelin)\nAncient Coupon
46g	ÿc4(Jagged Star)\nAncient Coupon
47g	ÿc4(Swirling Crystal)\nAncient Coupon
48g	ÿc4(Divine Scepter)\nAncient Coupon
49g	ÿc4(Ancient Sword)\nAncient Coupon
50g	ÿc4(Bill)\nAncient Coupon
51g	ÿc4(Battle Scythe)\nAncient Coupon
52g	ÿc4(Ceremonial Pike)\nAncient Coupon
53g	ÿc4(Ceremonial Bow)\nAncient Coupon
54g	ÿc4(Espandon)\nAncient Coupon
55g	ÿc4(Gothic Axe)\nAncient Coupon
56g	ÿc4(Greater Talons)\nAncient Coupon
57g	ÿc4(Rune Bow)\nAncient Coupon
58g	ÿc4(Partizan)\nAncient Coupon
59g	ÿc4(Dacian Falx)\nAncient Coupon
60g	ÿc4(Battle Hammer)\nAncient Coupon
61g	ÿc4(Twin Axe)\nAncient Coupon
62g	ÿc4(Battle Dart)\nAncient Coupon
63g	ÿc4(Grim Scythe)\nAncient Coupon
64g	ÿc4(Bec-de-Corbin)\nAncient Coupon
65g	ÿc4(Tusk Sword)\nAncient Coupon
66g	ÿc4(Gothic Sword)\nAncient Coupon
67g	ÿc4(Crowbill)\nAncient Coupon
68g	ÿc4(Ancient Axe)\nAncient Coupon
69g	ÿc4(Martel de Fer)\nAncient Coupon
70g	ÿc4(Knout)\nAncient Coupon
71g	ÿc4(Gothic Bow)\nAncient Coupon
72g	ÿc4(Zweihander)\nAncient Coupon
73g	ÿc4(Executioner Sword)\nAncient Coupon
74g	ÿc4(Naga)\nAncient Coupon
75g	ÿc4(War Club)\nAncient Coupon
76g	ÿc4(Chu-Ko-Nu)\nAncient Coupon
77g	ÿc4(Ballista)\nAncient Coupon
78g	ÿc4(Francisca)\nAncient Coupon
01h	ÿc4(Phase Blade i)\nAncient Coupon
02k	ÿc4(Caduceus)\nAncient Coupon
03h	ÿc4(Bone Knife)\nAncient Coupon
04h	ÿc4(Mighty Scepter i)\nAncient Coupon
05h	ÿc4(Elegant Blade)\nAncient Coupon
06h	ÿc4(Legend Spike)\nAncient Coupon
07h	ÿc4(Devil Star)\nAncient Coupon
08h	ÿc4(Decapitator)\nAncient Coupon
09h	ÿc4(Tyrant Club)\nAncient Coupon
10h	ÿc4(War Spike)\nAncient Coupon
11h	ÿc4(Matriarchal Spear)\nAncient Coupon
12k	ÿc4(Ogre Axe)\nAncient Coupon
13h	ÿc4(Scourge i)\nAncient Coupon
14h	ÿc4(Ataghan)\nAncient Coupon
15h	ÿc4(Ward Bow)\nAncient Coupon
16h	ÿc4(Wrist Sword)\nAncient Coupon
17h	ÿc4(Unearthed Wand)\nAncient Coupon
18h	ÿc4(Elder Staff)\nAncient Coupon
19h	ÿc4(Champion Sword)\nAncient Coupon
20h	ÿc4(Tomahawk)\nAncient Coupon
21h	ÿc4(Champion Axe)\nAncient Coupon
22k	ÿc4(Feral Claws)\nAncient Coupon
23h	ÿc4(Winged Axe)\nAncient Coupon
24h	ÿc4(Legendary Mallet i)\nAncient Coupon
25h	ÿc4(Truncheon)\nAncient Coupon
26h	ÿc4(Fanged Knife)\nAncient Coupon
27h	ÿc4(Ogre Maul)\nAncient Coupon
28h	ÿc4(Balrog Spear)\nAncient Coupon
29h	ÿc4(Thunder Maul i)\nAncient Coupon
30h	ÿc4(Matriarchal Javelin)\nAncient Coupon
31h	ÿc4(War Pike)\nAncient Coupon
32k	ÿc4(Crusader Bow)\nAncient Coupon
33h	ÿc4(Flying Axe)\nAncient Coupon
34h	ÿc4(Cryptic Sword)\nAncient Coupon
35h	ÿc4(Berserker Axe)\nAncient Coupon
36h	ÿc4(Giant Thresher)\nAncient Coupon
37h	ÿc4(Winged Harpoon)\nAncient Coupon
38h	ÿc4(Demon Crossbow)\nAncient Coupon
39h	ÿc4(Matriarchal Bow)\nAncient Coupon
40h	ÿc4(Balrog Blade)\nAncient Coupon
41h	ÿc4(Mancatcher)\nAncient Coupon
42k	ÿc4(Ettin Axe)\nAncient Coupon
43h	ÿc4(Hydra Bow)\nAncient Coupon
44h	ÿc4(Mighty Scepter ii)\nAncient Coupon
45h	ÿc4(Eldritch Orb)\nAncient Coupon
46h	ÿc4(Dimensional Shard)\nAncient Coupon
47h	ÿc4(Silver-edged Axe)\nAncient Coupon
48h	ÿc4(Legendary Mallet ii)\nAncient Coupon
49h	ÿc4(Winged Knife)\nAncient Coupon
50h	ÿc4(Glorious Axe)\nAncient Coupon
51h	ÿc4(Thresher)\nAncient Coupon
52k	ÿc4(Lich Wand)\nAncient Coupon
53h	ÿc4(Colossus Crossbow)\nAncient Coupon
54h	ÿc4(Ghost Glaive)\nAncient Coupon
55h	ÿc4(Thunder Maul ii)\nAncient Coupon
56h	ÿc4(Battle Cestus)\nAncient Coupon
57h	ÿc4(Colossus Blade)\nAncient Coupon
58h	ÿc4(Hyperion Spear)\nAncient Coupon
59h	ÿc4(Cryptic Axe)\nAncient Coupon
60h	ÿc4(Scourge ii)\nAncient Coupon
61h	ÿc4(Archon Staff)\nAncient Coupon
62k	ÿc4(Phase Blade ii)\nAncient Coupon
01i	ÿc4(Amulet i)\nAncient Coupon
02i	ÿc4(Amulet ii)\nAncient Coupon
03i	ÿc4(Amulet iii)\nAncient Coupon
04i	ÿc4(Amulet iv)\nAncient Coupon
05i	ÿc4(Amulet v)\nAncient Coupon
06i	ÿc4(Amulet vi)\nAncient Coupon
07i	ÿc4(Amulet vii)\nAncient Coupon
08i	ÿc4(Amulet viii)\nAncient Coupon
09i	ÿc4(Amulet ix)\nAncient Coupon
10i	ÿc4(Amulet x)\nAncient Coupon
11i	ÿc4(Amulet xi)\nAncient Coupon
12i	ÿc4(Amulet xii)\nAncient Coupon
01j	ÿc4(Ring i)\nAncient Coupon
02j	ÿc4(Ring ii)\nAncient Coupon
03j	ÿc4(Ring iii)\nAncient Coupon
04j	ÿc4(Ring iv)\nAncient Coupon
05j	ÿc4(Ring v)\nAncient Coupon
06j	ÿc4(Ring vi)\nAncient Coupon
07j	ÿc4(Ring vii)\nAncient Coupon
08j	ÿc4(Ring viii)\nAncient Coupon
09j	ÿc4(Ring ix)\nAncient Coupon
10j	ÿc4(Ring x)\nAncient Coupon
99j	ÿc4(Wild Card)\nAncient Coupon
cpndesc	with 1 socket\nto make an LoD unique\nCube 3 coupons of a kind
tkn000	ÿc2Token\nAutolycus' Robes
tkn001	ÿc2Token\nAutolycus' Thieving Tools
tkn002	ÿc2Token\nBoots of Sneaking
tkn003	ÿc2Token\nAchilles' Force
tkn004	ÿc2Token\nAchilles' Girdle
tkn005	ÿc2Token\nAchilles' Heel
tkn006	ÿc2Token\nHelm of Spirits
tkn007	ÿc2Token\nArmor of Gloom
tkn008	ÿc2Token\nStormshield
tkn009	ÿc2Token\nTharn's Ward
tkn010	ÿc2Token\nBard's Graceful Hand
tkn011	ÿc2Token\nRoot's Banded Restraint
tkn012	ÿc2Token\nWanderer's Waltz
tkn013	ÿc2Token\nBand of Famine
tkn014	ÿc2Token\nCrook of the Darkest Valley
tkn015	ÿc2Token\nShepherd's Blessing
tkn016	ÿc2Token\nShepherd's Invocation
tkn017	ÿc2Token\nTasselhoff's Jerkin
tkn018	ÿc2Token\nTasselhoff's Pouches
tkn019	ÿc2Token\nTasselhoff's Breaches
tkn020	ÿc2Token\nArctic Horn
tkn021	ÿc2Token\nArctic Mitts
tkn022	ÿc2Token\nArctic Binding
tkn023	ÿc2Token\nGabrielle's Pointed Staff
tkn024	ÿc2Token\nGabrielle's Defense
tkn025	ÿc2Token\nGabrielle's Revelation
tkn026	ÿc2Token\nLixo's Flight
tkn027	ÿc2Token\nLixo's Harp
tkn028	ÿc2Token\nLixo's Coat
tkn029	ÿc2Token\nAanna's Touch
tkn030	ÿc2Token\nAanna's Dress
tkn031	ÿc2Token\nAanna's Skill
tkn032	ÿc2Token\nAanna's March
tkn033	ÿc2Token\nAlaziel's Point
tkn034	ÿc2Token\nAlaziel's Protector
tkn035	ÿc2Token\nAlaziel's Buckler
tkn036	ÿc2Token\nAlaziel's Grip
tkn037	ÿc2Token\nNoir's Anticipation
tkn038	ÿc2Token\nNoir's Focus
tkn039	ÿc2Token\nNoir's Tenacity
tkn040	ÿc2Token\nNoir's Stride
tkn041	ÿc2Token\nMilea's Crown
tkn042	ÿc2Token\nMilea's Maim
tkn043	ÿc2Token\nMilea's Mail
tkn044	ÿc2Token\nDeath's Touch
tkn045	ÿc2Token\nDeath's Hand
tkn046	ÿc2Token\nDeath's Guard
tkn047	ÿc2Token\nVega's Beauty
tkn048	ÿc2Token\nGrace
tkn049	ÿc2Token\nPower
tkn050	ÿc2Token\nVega's Sash
tkn051	ÿc2Token\nMotoko's Power
tkn052	ÿc2Token\nMotoko's Kimono
tkn053	ÿc2Token\nAlora's Veil
tkn054	ÿc2Token\nAlora's Silent Assault
tkn055	ÿc2Token\nAlora's Silhouette
tkn056	ÿc2Token\nAlora's Vestige
tkn057	ÿc2Token\nSascha's Deadly Point
tkn058	ÿc2Token\nSascha's Bosom
tkn059	ÿc2Token\nSascha's Jagged Strike
tkn060	ÿc2Token\nSascha's Black Slipper
tkn061	ÿc2Token\nIhsan's Gaze
tkn062	ÿc2Token\nIhsan's Spine
tkn063	ÿc2Token\nIhsan's Clutch
tkn064	ÿc2Token\nIhsan's Coil
tkn065	ÿc2Token\nBorik's Nightblade
tkn066	ÿc2Token\nBorik's Dark Binding
tkn067	ÿc2Token\nBorik's Black Hand
tkn068	ÿc2Token\nInfernal Cranium
tkn069	ÿc2Token\nInfernal Torch
tkn070	ÿc2Token\nInfernal Sign
tkn071	ÿc2Token\nRathol's Gaze
tkn072	ÿc2Token\nRathol's Touch
tkn073	ÿc2Token\nRathol's Fear
tkn074	ÿc2Token\nWrathamon's Skull
tkn075	ÿc2Token\nWrathamon's Scythe of Doom
tkn076	ÿc2Token\nWrathamon's Cloak of Night
tkn077	ÿc2Token\nThe Hands of Wier
tkn078	ÿc2Token\nThe Lich's Pate
tkn079	ÿc2Token\nThe Lich's Curse
tkn080	ÿc2Token\nThe Lich's Cage
tkn081	ÿc2Token\nThe Lich's Clutch
tkn082	ÿc2Token\nThe Lich's Wrap
tkn083	ÿc2Token\nNupraptor's Skull
tkn084	ÿc2Token\nNupraptor's Eradicator
tkn085	ÿc2Token\nNupraptor's Servant
tkn086	ÿc2Token\nLim-Dul's Hex
tkn087	ÿc2Token\nLim-Dul's High Guardian
tkn088	ÿc2Token\nLim-Dul's Vault
tkn089	ÿc2Token\nLim-Dul's Oath
tkn090	ÿc2Token\nMask of the Angel of Death
tkn091	ÿc2Token\nFlesh of the Angel of Chaos
tkn092	ÿc2Token\nReaver of the Angel of Annihilation
tkn093	ÿc2Token\nBerserker's Headgear
tkn094	ÿc2Token\nBerserker's Hatchet
tkn095	ÿc2Token\nBerserker's Hauberk
tkn096	ÿc2Token\nMesserschmidt's Reaver
tkn097	ÿc2Token\nMesserschmidt's Burning Palm
tkn098	ÿc2Token\nMesserschmidt's Rush
tkn099	ÿc2Token\nBlood Baron
tkn100	ÿc2Token\nKain's Fear
tkn101	ÿc2Token\nKain's Sentinel
tkn102	ÿc2Token\nKain's Wings
tkn103	ÿc2Token\nKrakerag's Point
tkn104	ÿc2Token\nKrakerag's Chestplate
tkn105	ÿc2Token\nKrakerag's Slay
tkn106	ÿc2Token\nDarkshade's Haze
tkn107	ÿc2Token\nDarkshade's Skewer
tkn108	ÿc2Token\nDarkshade's Spined Sheath
tkn109	ÿc2Token\nDarkshade's Evisceration
tkn110	ÿc2Token\nDarkshade's Binding
tkn111	ÿc2Token\nSarevok's Malicious Stare
tkn112	ÿc2Token\nSarevok's Master
tkn113	ÿc2Token\nSarevok's Savage Heart
tkn114	ÿc2Token\nCrown of the Northern Tribes
tkn115	ÿc2Token\nHarrogath's Heirloom
tkn116	ÿc2Token\nMilabrega's Ironsoles
tkn117	ÿc2Token\nMilabrega's Rod
tkn118	ÿc2Token\nMilabrega's Orb
tkn119	ÿc2Token\nTyrael's Fort
tkn120	ÿc2Token\nTyrael's Virtue
tkn121	ÿc2Token\nTyrael's Faith
tkn122	ÿc2Token\nAnduin's Vision
tkn123	ÿc2Token\nAnduin's Vanquisher
tkn124	ÿc2Token\nAnduin's Protector
tkn125	ÿc2Token\nMalek's Sight
tkn126	ÿc2Token\nMalek's Strike
tkn127	ÿc2Token\nMalek's Pride
tkn128	ÿc2Token\nMalek's Defense
tkn129	ÿc2Token\nMalek's Girdle
tkn130	ÿc2Token\nLancelot's Prediction
tkn131	ÿc2Token\nLancelot's Security
tkn132	ÿc2Token\nLancelot's Heraldic Lion
tkn133	ÿc2Token\nGriffith's Stare
tkn134	ÿc2Token\nGriffith's Parry
tkn135	ÿc2Token\nGriffith's Protection
tkn136	ÿc2Token\nDarien's Wit
tkn137	ÿc2Token\nDarien's Faith
tkn138	ÿc2Token\nDarien's Band
tkn139	ÿc2Token\nArcanna's Deathwand
tkn140	ÿc2Token\nArcanna's Flesh
tkn141	ÿc2Token\nTara's Vision
tkn142	ÿc2Token\nTara's Eye
tkn143	ÿc2Token\nTara's Gown
tkn144	ÿc2Token\nTara's Mirror
tkn145	ÿc2Token\nNaj's Puzzler
tkn146	ÿc2Token\nNaj's Light Plate
tkn147	ÿc2Token\nNaj's Fireward
tkn148	ÿc2Token\nDivada's Tiara
tkn149	ÿc2Token\nDivada's Focus
tkn150	ÿc2Token\nDivada's Shawl
tkn151	ÿc2Token\nDivada's Screen
tkn152	ÿc2Token\nRaistlin's Glance
tkn153	ÿc2Token\nThe Staff of the Magius
tkn154	ÿc2Token\nRobes of the Arch-Magi
tkn155	ÿc2Token\nJade Wrap
tkn156	ÿc2Token\nJade Slipper
tkn157	ÿc2Token\nArion's Eye
tkn158	ÿc2Token\nArion's Heart
tkn159	ÿc2Token\nArion's Hand
tkn160	ÿc2Token\nHsarus' Iron Arm
tkn161	ÿc2Token\nHsarus' Iron Fist
tkn162	ÿc2Token\nHsarus' Iron Heel
tkn163	ÿc2Token\nBlackwing's Will
tkn164	ÿc2Token\nBlackwing's Force
tkn165	ÿc2Token\nBlackwing's Clench
tkn166	ÿc2Token\nBlackwing's Footprint
tkn167	ÿc2Token\nDanarak's Spirit
tkn168	ÿc2Token\nDanarak's Mallet
tkn169	ÿc2Token\nDanarak's Wrap
tkn170	ÿc2Token\nHorns of Power
tkn171	ÿc2Token\nKeeper of the Fire
tkn172	ÿc2Token\nRobes of Earth and Water
tkn173	ÿc2Token\nSandals of the Wind
tkn174	ÿc2Token\nTerra's Clairvoyance
tkn175	ÿc2Token\nFyrre's Deception
tkn176	ÿc2Token\nGaia's Carapace
tkn177	ÿc2Token\nPersephone's Heel
tkn178	ÿc2Token\nJaheira's Volition
tkn179	ÿc2Token\nJaheira's Caress
tkn180	ÿc2Token\nJaheira's Girdle
tkn181	ÿc2Token\nBranch of the Ents
tkn182	ÿc2Token\nHide of the Tarrasque
tkn183	ÿc2Token\nClaws of the Dragon
tkn184	ÿc2Token\nRogue's Bow-N
tkn185	ÿc2Token\nRogue's Suit-N
tkn186	ÿc2Token\nRogue's Cap-N
tkn187	ÿc2Token\nMercenary's Pike-N
tkn188	ÿc2Token\nMercenary's Wraps-N
tkn189	ÿc2Token\nMercenary's Shiek-N
tkn190	ÿc2Token\nIron Wolf's Broad Sword-N
tkn191	ÿc2Token\nIron Wolf's Robes-N
